Item Level (enter Parent or Child - default is Parent),*Item Name,*Category,Subcategory,Description,Manufacturer,Code,Supplier,Supplier SKU,Weight (e.g. 5.0 - default is 0),"Pricing Type (enter Flat Fee or Fixed Per Unit - default is Fixed Per Unit),",*USD Price (e.g. 1000.00),USD Cost (in dollars or percentage),USD Cost Type (enter dollars or percent - default is dollars),Recurring (enter No/Monthly/Quarterly/Annually - default is No),Allow Decimal Quantities (enter Yes or No - default is No),Taxable Item (enter Yes or No - default is Yes)
Parent,90-day Warranty,FINANCE,Warranty,This product or service is covered under a 90-day limited warranty from the date of delivery. The warranty includes protection against defects in materials and workmanship under normal use.,,FIN-WAR-90D,,,0,,0,0,Dollars,No,No,No
Parent,Accomodations,ALL-IN,Accomodations,"A flat, comprehensive rate covering all lodging-related costs associated with the project or event. This all-inclusive price ensures predictable budgeting and includes: Nightly room rate, Taxes and resort fees, Wi-Fi and standard amenities, Parking (if applicable), Hotel service charges and booking fees",,5R-ACC-001,,,0,,999,99,Dollars,No,No,No
Parent,ACH PAYMENT INFORMATION,FINANCE,ACH,"Bank Name: [Your Bank Name]
Bank Address: [Bank Address, optional]
Routing Number (ABA): [Routing Number]
Account Number: [Account Number]
Account Type: [Checking/Savings]
Account Name: [Company Name or Payee Name]
Reference: [Invoice Number, Project Name, or Customer ID]

Remittance Email: [accounts@yourcompany.com]
Phone (Accounts Dept): [Optional]

Please include the invoice number or project reference in your payment to ensure proper credit.",,FIN-ACH-DOM,,,0,,0,0,Dollars,No,No,No
Parent,After Hours Liftgate Pick-up,SHIP,After-hours,An additional charge applied for freight pick-up scheduled outside standard business hours and requiring a liftgate-equipped truck for ground-level loading.,,SHP-LIFT-LATE,,,0,,400,150,Dollars,No,No,No
Parent,AI Character Robot Tray,ROBOTICS,UTILITY,"An autonomous indoor robot designed for efficient delivery of food, packages, or materials across multi-room environments. Equipped with multiple shelving tiers, it enables organized transport of multiple items in a single trip. Includes video screen for branding and information",,ROB-TRY-001,,,0,,6000,500,Dollars,No,No,No
Parent,AI Robotics Bulk Package,ROBOTICS,Package,"A comprehensive package that delivers a full spectrum of robotic solutions for live events, exhibitions, hospitality, or operational automation. This all-in-one offering includes multiple robot types tailored to your environment and goals, along with full technical support and programming services.",,ROB-PACK-001,,,0,,15000,1500,Dollars,No,No,No
Parent,AI-Large Language Models (LLMs),ROBOTICS,LLM,"At the event, the robot is powered by a Large Language Model (LLM) to enable natural, real-time interaction with guests. The LLM processes spoken input, understands intent, and generates human-like responses, allowing the robot to act as an intelligent, conversational host or guide.",,ROB-LLM-001,,,0,,2500,500,Dollars,No,No,No
Parent,Attendee Behavioural Data Analysis Capture,DATA,Behavioural,"A privacy-conscious analytics solution that uses advanced visual sensing technology and AI to interpret audience mood, engagement, and demographic trends in real time—without collecting or storing any personal data. Ideal for brand activations, live presentations, trade shows, experiential marketing, digital signage, and retail environments, this system empowers teams to understand how people react to content and experiences as they happen.",,DAT-BEH-ANA,,,0,,,,Dollars,No,No,No
Parent,T&E-Baggage fees,T&E,Baggage,Baggage fees,,,,,0,,,,Dollars,No,No,No
Parent,"Barista Package - Left side coffee system, right side ice, milk & flavors",,,"Barista Package - Left side coffee system, right side ice, milk & flavors",,,,,0,,,,Dollars,No,No,No
Parent,Branding for Robot Bartender ADAM,,,Branding for Robot Bartender ADAM,,,,,0,,,,Dollars,No,No,No
Parent,Call-Out Fee,,,Call-Out Fee,,,,,0,,,,Dollars,No,No,No
Parent,Catch/Recirculating Basins - Non Stainless,,,Catch/Recirculating Basins - Non Stainless,,,,,0,,,,Dollars,No,No,No
Parent,Champagne Bottle -EZ break material.,,,Champagne Bottle -EZ break material.,,,,,0,,,,Dollars,No,No,No
Parent,Champagne Bottles: Additional,,,Champagne Bottles: Additional,,,,,0,,,,Dollars,No,No,No
Parent,Client To Provide,,,Client To Provide,,,,,0,,,,Dollars,No,No,No
Parent,Tanks - Dewar Tall,,,CO2 Dewar Tanks,,,,,0,,,,Dollars,No,No,No
Parent,CO2 Jet Repair,,,CO2 Jet Repair,,,,,0,,,,Dollars,No,No,No
Parent,Tanks Technician Services,,,Co2 Tank and Technician Services,,,,,0,,,,Dollars,No,No,No
Parent,Confetti Blower Rental (TBD),,,Confetti Blower Rental (TBD),,,,,0,,,,Dollars,No,No,No
Parent,Content Conversion and Instruction,,,Content Conversion and Instruction,,,,,0,,,,Dollars,No,No,No
Parent,Control System Deposit,,,Control System Deposit,,,,,0,,,,Dollars,No,No,No
Parent,Control Systems,,,Control Systems,,,,,0,,,,Dollars,No,No,No
Parent,Controller - Electronic - Hardware.,,,Controller - Electronic - Hardware.,,,,,0,,,,Dollars,No,No,No
Parent,Controller & Technician Services,,,Controller & Technician Services,,,,,0,,,,Dollars,No,No,No
